QA60_mean,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B9_mean,B10_mean,B11_mean,B12_mean,EVI,GNDVI,NDVI,Year,Field´
0,0,0,0,0,0,0,0,0,0,0,0,0,0.366558436910311,0.556904724121094,0.544850869735082,2017,ARRA 15 CR
97.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.469010161201159,0.628879778385162,0.654280894041061,2018,ARRA 15 CR
0,0,0,0,0,0,0,0,0,0,0,0,0,0.453442962447802,0.60746911851565,0.613365743398666,2019,ARRA 15 CR
157,0,0,0,0,0,0,0,0,0,0.528,0,0,0.542958647251129,0.67979793103536,0.719956954320272,2020,ARRA 15 CR
0,0,0,0,0,0,0,0,0,0,0,0,0,0.443726601084073,0.62998192079862,0.629895102818807,2021,ARRA 15 CR
0,0,0,0,0,0,0,0,0,0,0,0,0,0.659337920429823,0.708175278418548,0.793240301571526,2017,CRIMSON 04
0,0,0,0,0,0,0,0,0,0,0,0,0,0.612710094222656,0.703240714394129,0.774367732914178,2018,CRIMSON 04
0,0,0,0,0,0,0,0,0,0,0,0,0,0.524861592304457,0.668359738338244,0.693873737346042,2019,CRIMSON 04
85.0874125874126,0,0,0,0,0,0,0,0,0,0,0,0,0.594397107412765,0.71196823353534,0.76751013996301,2020,CRIMSON 04
0,0,0,0,0,0,0,0,0,0,0,0,0,0.465630301385076,0.647925676165761,0.66464317449323,2021,CRIMSON 04
0,0,0,0,0,0,0,0,0,0,0,0,0,0.682147172819499,0.725036987797962,0.817540025495621,2017,CRIMSON 99-00
0,0,0,0,0,0,0,0,0,0,0,0,0,0.622391415109117,0.71472629765111,0.790888705386854,2018,CRIMSON 99-00
0,0,0,0,0,0,0,0,0,0,0,0,0,0.507228327992371,0.668841038223411,0.688678020753535,2019,CRIMSON 99-00
5.25435073627845,0,0,0,0,0,0,0,0,0,0,0,0,0.582164153955388,0.716159473740592,0.766943105592466,2020,CRIMSON 99-00
0,0,0,0,0,0,0,0,0,0,0,0,0,0.461987176693108,0.652225092013517,0.669361840449822,2021,CRIMSON 99-00
289.962686567164,0,0,0,0,0,0,0,0,0,0,0,0,0.493587900008728,0.646098801893974,0.670430270148747,2017,INIAGRAPE ONE 14
146,0,0,0,0,0,0,0,0,0,0,0,0,0.413748792525548,0.619729767094797,0.602199448355988,2018,INIAGRAPE ONE 14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.346531835287365,0.587032741130288,0.534176890974614,2019,INIAGRAPE ONE 14
157,0,0,0,0,0,0,0,0,0,1,0,0,0.518239380485976,0.693226768454509,0.704180505960735,2020,INIAGRAPE ONE 14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.428281090597608,0.636783552703573,0.612566674823192,2021,INIAGRAPE ONE 14
222.282608695652,0,0,0,0,0,0,0,0,0,0,0,0,0.20770474543552,0.413503748486223,0.310810949693879,2017,INIAGRAPE ONE 15
146,0,0,0,0,0,0,0,0,0,0,0,0,0.272204758396939,0.499585753387731,0.426602490732203,2018,INIAGRAPE ONE 15
0,0,0,0,0,0,0,0,0,0,0,0,0,0.408122187601807,0.617199777504024,0.60068226840509,2019,INIAGRAPE ONE 15
157,0,0,0,0,0,0,0,0,0,1,0,0,0.520791634512336,0.700977285109136,0.719075618959639,2020,INIAGRAPE ONE 15
0,0,0,0,0,0,0,0,0,0,0,0,0,0.444788286421934,0.654290291440228,0.637320687427469,2021,INIAGRAPE ONE 15
0,0,0,0,0,0,0,0,0,0,0,0,0,0.503040731530781,0.638591529036215,0.662245013108549,2017,SABLE 14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.518000302215417,0.656699935768464,0.681742047616678,2018,SABLE 14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.41618734286275,0.298251385056926,0.316751758835112,2019,SABLE 14
146.046511627907,0,0,0,0,0,0,0,0,0,0,0,0,0.470648936985075,0.353700038132279,0.37264441854732,2020,SABLE 14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.365727972961211,0.322272002696991,0.328182884195978,2021,SABLE 14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.152717759361468,0.358450594317003,0.241804243989259,2017,SABLE 16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.283145012984793,0.489197393258413,0.429337819776382,2018,SABLE 16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.375981574317059,0.554695940999142,0.52238474181857,2019,SABLE 16
157,0,0,0,0,0,0,0,0,0,0,0,0,0.542680615162754,0.678791200899216,0.697586695472878,2020,SABLE 16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.523574167466068,0.653469107835647,0.666609805032431,2021,SABLE 16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.651560760522421,0.731699958904502,0.819375233756718,2017,THOMPSON 00
0.501718213058419,0,0,0,0,0,0,0,0,0,0,0,0,0.58844560807206,0.548250227270462,0.612493599070511,2018,THOMPSON 00
0,0,0,0,0,0,0,0,0,0,0,0,0,0.520222813966348,0.513824806539054,0.550286975487606,2019,THOMPSON 00
0,0,0,0,0,0,0,0,0,0,0,0,0,0.509759499265771,0.510451881439006,0.533582997972408,2020,THOMPSON 00
0,0,0,0,0,0,0,0,0,0,0,0,0,0.449304755764319,0.665829255024797,0.688164240101359,2021,THOMPSON 00
0,0,0,0,0,0,0,0,0,0,0,0,0,0.628857267826579,0.720266616661958,0.799204915473305,2017,THOMPSON 07
0,0,0,0,0,0,0,0,0,0,0,0,0,0.551576026198939,0.699650272474451,0.752195177008973,2018,THOMPSON 07
0,0,0,0,0,0,0,0,0,0,0,0,0,0.545370026881701,0.393125316637769,0.459783234838712,2019,THOMPSON 07
157,0,0,0,0,0,0,0,0,0,1,0,0,0.577917052311124,0.456037201402262,0.500645721146327,2020,THOMPSON 07
0,0,0,0,0,0,0,0,0,0,0,0,0,0.445498746041813,0.389538257448206,0.421610701098569,2021,THOMPSON 07
118.091549295775,0,0,0,0,0,0,0,0,0,0,0,0,0.594530502045658,0.706896248837592,0.774734880652786,2017,THOMPSON 08
78.4835680751174,0,0,0,0,0,0,0,0,0,0,0,0,0.529710168220068,0.696539697932525,0.743421543022277,2018,THOMPSON 08
0,0,0,0,0,0,0,0,0,0,0,0,0,0.463863213227388,0.287085436809231,0.35742728146309,2019,THOMPSON 08
157,0,0,0,0,0,0,0,0,0,1,0,0,0.493336872665535,0.339876232852398,0.381289464417198,2020,THOMPSON 08
0,0,0,0,0,0,0,0,0,0,0,0,0,0.400786392390728,0.305591401010052,0.332939815178444,2021,THOMPSON 08
29.7654986522911,0,0,0,0,0,0,0,0,0,0,0,0,0.630205439000331,0.726753662538657,0.81125492869683,2017,THOMPSON 96
1.70530098831986,0,0,0,0,0,0,0,0,0,0,0,0,0.562724882621328,0.713869480163475,0.775088360313885,2018,THOMPSON 96
0,0,0,0,0,0,0,0,0,0,0,0,0,0.549519448535247,0.374297525281855,0.44372516032392,2019,THOMPSON 96
157,0,0,0,0,0,0,0,0,0,1,0,0,0.530438644170547,0.404026687386222,0.445126231174049,2020,THOMPSON 96
0,0,0,0,0,0,0,0,0,0,0,0,0,0.396256800289103,0.336425851297507,0.36183739559991,2021,THOMPSON 96
0,0,0,0,0,0,0,0,0,0,0,0,0,0.403182660569163,0.58098692864764,0.576125196031496,2017,TIMCO 14 CR
0,0,0,0,0,0,0,0,0,0,0,0,0,0.505069836974144,0.668010119304937,0.685933185967745,2018,TIMCO 14 CR
0,0,0,0,0,0,0,0,0,0,0,0,0,0.464492162243993,0.639629065932012,0.636788664086192,2019,TIMCO 14 CR
0,0,0,0,0,0,0,0,0,0,0,0,0,0.574837486591994,0.725493064756487,0.761635474013347,2020,TIMCO 14 CR
0,0,0,0,0,0,0,0,0,0,0,0,0,0.475285749341927,0.670581087353183,0.671709606927984,2021,TIMCO 14 CR
